Ticker,Name,Sector,Market Value,Weight (%),Notional Value,Shares,Price,Currency
COO,COOPER INC,Health Care,"146,401,411.00",0.05,"146,401,411.00","440,570.00",332.30,USD
FMC,FMC CORP,Materials,"145,315,255.54",0.05,"145,315,255.54","1,124,557.00",129.22,USD
EXPE,EXPEDIA GROUP INC,Consumer Discretionary,"143,631,742.92",0.05,"143,631,742.92","1,344,363.00",106.84,USD
ATO,ATMOS ENERGY CORP,Utilities,"143,494,818.30",0.05,"143,494,818.30","1,248,867.00",114.90,USD
FDS,FACTSET RESEARCH SYSTEMS INC,Financials,"142,606,091.76",0.05,"142,606,091.76","339,603.00",419.92,USD
SYF,SYNCHRONY FINANCIAL,Financials,"142,626,575.00",0.05,"142,626,575.00","4,017,650.00",35.50,USD
RCL,ROYAL CARIBBEAN GROUP LTD,Consumer Discretionary,"141,002,595.28",0.05,"141,002,595.28","1,957,282.00",72.04,USD
DGX,QUEST DIAGNOSTICS INC,Health Care,"140,957,457.54",0.05,"140,957,457.54","1,016,569.00",138.66,USD
SJM,JM SMUCKER,Consumer Staples,"140,824,751.98",0.05,"140,824,751.98","951,133.00",148.06,USD
TER,TERADYNE INC,Information Technology,"140,417,060.57",0.05,"140,417,060.57","1,390,681.00",100.97,USD
HWM,HOWMET AEROSPACE INC,Industrials,"139,107,024.96",0.05,"139,107,024.96","3,287,028.00",42.32,USD
PKI,PERKINELMER INC,Health Care,"138,825,512.19",0.05,"138,825,512.19","1,126,739.00",123.21,USD
NVR,NVR INC,Consumer Discretionary,"138,453,056.28",0.05,"138,453,056.28","26,796.00","5,166.93",USD
J,JACOBS SOLUTIONS INC,Industrials,"138,257,438.24",0.05,"138,257,438.24","1,139,234.00",121.36,USD
FLT,FLEETCOR TECHNOLOGIES INC,Information Technology,"138,100,066.36",0.05,"138,100,066.36","657,682.00",209.98,USD
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Information Technology,"136,514,929.43",0.05,"136,514,929.43","460,841.00",296.23,USD
IRM,IRON MOUNTAIN INC,Real Estate,"136,456,474.70",0.05,"136,456,474.70","2,595,710.00",52.57,USD
TXT,TEXTRON INC,Industrials,"136,195,091.24",0.05,"136,195,091.24","1,864,154.00",73.06,USD
JBHT,JB HUNT TRANSPORT SERVICES INC,Industrials,"136,100,122.62",0.05,"136,100,122.62","739,554.00",184.03,USD
ETSY,ETSY INC,Consumer Discretionary,"135,325,260.00",0.05,"135,325,260.00","1,122,100.00",120.60,USD
GRMN,GARMIN LTD,Consumer Discretionary,"134,699,830.02",0.05,"134,699,830.02","1,369,179.00",98.38,USD
RE,EVEREST RE GROUP LTD,Financials,"133,153,037.76",0.04,"133,153,037.76","349,373.00",381.12,USD
AVY,AVERY DENNISON CORP,Materials,"131,471,276.82",0.04,"131,471,276.82","722,886.00",181.87,USD
ESS,ESSEX PROPERTY TRUST REIT INC,Real Estate,"131,387,168.34",0.04,"131,387,168.34","577,323.00",227.58,USD
LKQ,LKQ CORP,Consumer Discretionary,"130,003,952.00",0.04,"130,003,952.00","2,263,300.00",57.44,USD
LW,LAMB WESTON HOLDINGS INC,Consumer Staples,"129,761,921.70",0.04,"129,761,921.70","1,284,390.00",101.03,USD
PAYC,PAYCOM SOFTWARE INC,Information Technology,"127,663,962.48",0.04,"127,663,962.48","434,054.00",294.12,USD
INCY,INCYTE CORP,Health Care,"126,319,700.87",0.04,"126,319,700.87","1,648,867.00",76.61,USD
NTAP,NETAPP INC,Information Technology,"125,732,754.63",0.04,"125,732,754.63","1,941,219.00",64.77,USD
IPG,INTERPUBLIC GROUP OF COMPANIES INC,Communication,"124,573,904.05",0.04,"124,573,904.05","3,465,199.00",35.95,USD
POOL,POOL CORP,Consumer Discretionary,"124,123,003.48",0.04,"124,123,003.48","348,572.00",356.09,USD
EVRG,EVERGY INC,Utilities,"123,176,848.73",0.04,"123,176,848.73","2,046,467.00",60.19,USD
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,"121,872,602.88",0.04,"121,872,602.88","2,844,832.00",42.84,USD
CBOE,CBOE GLOBAL MARKETS INC,Financials,"121,634,006.52",0.04,"121,634,006.52","953,394.00",127.58,USD
VTRS,VIATRIS INC,Health Care,"121,284,878.40",0.04,"121,284,878.40","10,829,007.00",11.20,USD
WRB,WR BERKLEY CORP,Financials,"120,810,210.50",0.04,"120,810,210.50","1,822,450.00",66.29,USD
TYL,TYLER TECHNOLOGIES INC,Information Technology,"120,541,429.12",0.04,"120,541,429.12","371,308.00",324.64,USD
PTC,PTC INC,Information Technology,"119,076,524.10",0.04,"119,076,524.10","942,807.00",126.30,USD
LDOS,LEIDOS HOLDINGS INC,Industrials,"118,819,544.63",0.04,"118,819,544.63","1,218,787.00",97.49,USD
UDR,UDR REIT INC,Real Estate,"117,526,672.20",0.04,"117,526,672.20","2,729,370.00",43.06,USD
BRO,BROWN & BROWN INC,Financials,"117,411,354.80",0.04,"117,411,354.80","2,098,130.00",55.96,USD
SNA,SNAP ON INC,Industrials,"116,994,804.35",0.04,"116,994,804.35","473,951.00",246.85,USD
PEAK,HEALTHPEAK PROPERTIES,Real Estate,"116,760,691.86",0.04,"116,760,691.86","4,799,042.00",24.33,USD
IP,INTERNATIONAL PAPER,Materials,"116,028,540.96",0.04,"116,028,540.96","3,171,912.00",36.58,USD
HRL,HORMEL FOODS CORP,Consumer Staples,"115,641,568.00",0.04,"115,641,568.00","2,581,285.00",44.80,USD
LNT,ALLIANT ENERGY CORP,Utilities,"115,179,418.72",0.04,"115,179,418.72","2,238,232.00",51.46,USD
MKTX,MARKETAXESS HOLDINGS INC,Financials,"114,888,416.16",0.04,"114,888,416.16","335,568.00",342.37,USD
KIM,KIMCO REALTY REIT CORP,Real Estate,"113,919,148.82",0.04,"113,919,148.82","5,522,014.00",20.63,USD
TRMB,TRIMBLE INC,Information Technology,"113,785,710.54",0.04,"113,785,710.54","2,202,162.00",51.67,USD
PKG,PACKAGING CORP OF AMERICA,Materials,"112,969,076.25",0.04,"112,969,076.25","825,375.00",136.87,USD
APA,APA CORP,Energy,"112,470,330.81",0.04,"112,470,330.81","2,866,947.00",39.23,USD
SWK,STANLEY BLACK & DECKER INC,Industrials,"111,751,764.41",0.04,"111,751,764.41","1,321,099.00",84.59,USD
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,Information Technology,"110,100,342.00",0.04,"110,100,342.00","1,713,624.00",64.25,USD
EQT,EQT CORP,Energy,"109,765,182.73",0.04,"109,765,182.73","3,273,641.00",33.53,USD
PHM,PULTEGROUP INC,Consumer Discretionary,"109,135,422.90",0.04,"109,135,422.90","2,032,317.00",53.70,USD
CPT,CAMDEN PROPERTY TRUST REIT,Real Estate,"109,102,509.26",0.04,"109,102,509.26","950,122.00",114.83,USD
WDC,WESTERN DIGITAL CORP,Information Technology,"109,103,451.20",0.04,"109,103,451.20","2,833,120.00",38.51,USD
HST,HOST HOTELS & RESORTS REIT INC,Real Estate,"108,932,140.80",0.04,"108,932,140.80","6,377,760.00",17.08,USD
CTLT,CATALENT INC,Health Care,"107,998,265.64",0.04,"107,998,265.64","1,606,161.00",67.24,USD
JKHY,JACK HENRY AND ASSOCIATES INC,Information Technology,"107,909,382.75",0.04,"107,909,382.75","651,037.00",165.75,USD
L,LOEWS CORP,Financials,"107,111,407.20",0.04,"107,111,407.20","1,758,808.00",60.90,USD
BFB,BROWN FORMAN CORP CLASS B,Consumer Staples,"106,539,399.12",0.04,"106,539,399.12","1,633,038.00",65.24,USD
CHRW,CH ROBINSON WORLDWIDE INC,Industrials,"106,069,585.60",0.04,"106,069,585.60","1,050,610.00",100.96,USD
NDSN,NORDSON CORP,Industrials,"105,666,319.44",0.04,"105,666,319.44","479,996.00",220.14,USD
MAS,MASCO CORP,Industrials,"105,498,477.36",0.04,"105,498,477.36","2,011,794.00",52.44,USD
BWA,BORGWARNER INC,Consumer Discretionary,"104,827,377.60",0.04,"104,827,377.60","2,089,860.00",50.16,USD
CE,CELANESE CORP,Materials,"104,571,936.42",0.04,"104,571,936.42","890,277.00",117.46,USD
GEN,GEN DIGITAL INC,Information Technology,"103,429,579.34",0.03,"103,429,579.34","5,174,066.00",19.99,USD
MTCH,MATCH GROUP INC,Communication,"103,153,884.72",0.03,"103,153,884.72","2,492,844.00",41.38,USD
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,"102,775,982.40",0.03,"102,775,982.40","1,402,128.00",73.30,USD
TECH,BIO TECHNE CORP,Health Care,"101,732,085.68",0.03,"101,732,085.68","1,399,726.00",72.68,USD
CRL,CHARLES RIVER LABORATORIES INTERNA,Health Care,"100,666,002.36",0.03,"100,666,002.36","454,146.00",221.66,USD
TFX,TELEFLEX INC,Health Care,"99,956,604.43",0.03,"99,956,604.43","418,351.00",238.93,USD
CDAY,CERIDIAN HCM HOLDING INC,Information Technology,"99,879,548.12",0.03,"99,879,548.12","1,370,842.00",72.86,USD
NI,NISOURCE INC,Utilities,"99,645,367.14",0.03,"99,645,367.14","3,624,786.00",27.49,USD
PARA,PARAMOUNT GLOBAL CLASS B,Communication,"99,449,754.34",0.03,"99,449,754.34","4,502,026.00",22.09,USD
GL,GLOBE LIFE INC,Financials,"97,522,378.70",0.03,"97,522,378.70","806,570.00",120.91,USD
CCL,CARNIVAL CORP,Consumer Discretionary,"96,799,038.18",0.03,"96,799,038.18","8,938,046.00",10.83,USD
WYNN,WYNN RESORTS LTD,Consumer Discretionary,"96,768,542.92",0.03,"96,768,542.92","920,378.00",105.14,USD
CZR,CAESARS ENTERTAINMENT INC,Consumer Discretionary,"96,653,280.08",0.03,"96,653,280.08","1,915,064.00",50.47,USD
FOXA,FOX CORP CLASS A,Communication,"96,322,298.88",0.03,"96,322,298.88","2,699,616.00",35.68,USD
CPB,CAMPBELL SOUP,Consumer Staples,"95,096,911.36",0.03,"95,096,911.36","1,790,228.00",53.12,USD
KMX,CARMAX INC,Consumer Discretionary,"94,727,612.91",0.03,"94,727,612.91","1,411,107.00",67.13,USD
HSIC,HENRY SCHEIN INC,Health Care,"94,705,817.64",0.03,"94,705,817.64","1,208,599.00",78.36,USD
DPZ,DOMINOS PIZZA INC,Consumer Discretionary,"93,344,285.61",0.03,"93,344,285.61","315,747.00",295.63,USD
TPR,TAPESTRY INC,Consumer Discretionary,"92,885,320.99",0.03,"92,885,320.99","2,150,621.00",43.19,USD
BIO,BIO RAD LABORATORIES INC CLASS A,Health Care,"92,813,280.00",0.03,"92,813,280.00","192,160.00",483.00,USD
LYV,LIVE NATION ENTERTAINMENT INC,Communication,"91,576,785.30",0.03,"91,576,785.30","1,274,910.00",71.83,USD
EMN,EASTMAN CHEMICAL,Materials,"90,866,034.70",0.03,"90,866,034.70","1,070,902.00",84.85,USD
AAL,AMERICAN AIRLINES GROUP INC,Industrials,"90,546,434.34",0.03,"90,546,434.34","5,793,118.00",15.63,USD
QRVO,QORVO INC,Information Technology,"90,514,046.07",0.03,"90,514,046.07","904,869.00",100.03,USD
TAP,MOLSON COORS BREWING CLASS B,Consumer Staples,"90,190,081.25",0.03,"90,190,081.25","1,677,955.00",53.75,USD
JNPR,JUNIPER NETWORKS INC,Information Technology,"89,508,431.70",0.03,"89,508,431.70","2,896,713.00",30.90,USD
ALLE,ALLEGION PLC,Industrials,"88,582,734.00",0.03,"88,582,734.00","783,918.00",113.00,USD
REG,REGENCY CENTERS REIT CORP,Real Estate,"86,694,634.46",0.03,"86,694,634.46","1,374,578.00",63.07,USD
BBWI,BATH AND BODY WORKS INC,Consumer Discretionary,"84,447,970.47",0.03,"84,447,970.47","2,038,329.00",41.43,USD
BXP,BOSTON PROPERTIES REIT INC,Real Estate,"84,106,006.56",0.03,"84,106,006.56","1,273,176.00",66.06,USD
UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Health Care,"83,629,513.92",0.03,"83,629,513.92","572,648.00",146.04,USD
CMA,COMERICA INC,Financials,"81,862,541.88",0.03,"81,862,541.88","1,168,797.00",70.04,USD
PNR,PENTAIR,Industrials,"81,602,889.48",0.03,"81,602,889.48","1,468,206.00",55.58,USD
HII,HUNTINGTON INGALLS INDUSTRIES INC,Industrials,"77,416,626.30",0.03,"77,416,626.30","356,135.00",217.38,USD
RHI,ROBERT HALF,Industrials,"77,158,685.76",0.03,"77,158,685.76","968,357.00",79.68,USD
AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,"75,533,498.04",0.03,"75,533,498.04","537,108.00",140.63,USD
FFIV,F5 INC,Information Technology,"75,161,944.22",0.03,"75,161,944.22","534,238.00",140.69,USD
PNW,PINNACLE WEST CORP,Utilities,"74,845,245.31",0.03,"74,845,245.31","1,009,921.00",74.11,USD
BEN,FRANKLIN RESOURCES INC,Financials,"74,714,996.30",0.03,"74,714,996.30","2,535,290.00",29.47,USD
AOS,A O SMITH CORP,Industrials,"73,969,217.16",0.02,"73,969,217.16","1,132,413.00",65.32,USD
ROL,ROLLINS INC,Industrials,"72,519,408.00",0.02,"72,519,408.00","2,066,080.00",35.10,USD
WRK,WESTROCK,Materials,"71,815,934.12",0.02,"71,815,934.12","2,269,783.00",31.64,USD
VFC,VF CORP,Consumer Discretionary,"71,600,366.08",0.02,"71,600,366.08","2,944,094.00",24.32,USD
IVZ,INVESCO LTD,Financials,"70,918,207.16",0.02,"70,918,207.16","4,059,428.00",17.47,USD
FRT,FEDERAL REALTY INVESTMENT TRUST RE,Real Estate,"69,619,645.76",0.02,"69,619,645.76","652,358.00",106.72,USD
NRG,NRG ENERGY INC,Utilities,"67,916,394.52",0.02,"67,916,394.52","2,056,826.00",33.02,USD
GNRC,GENERAC HOLDINGS INC,Industrials,"67,781,192.85",0.02,"67,781,192.85","566,685.00",119.61,USD
WHR,WHIRLPOOL CORP,Consumer Discretionary,"67,580,554.94",0.02,"67,580,554.94","486,401.00",138.94,USD
ZION,ZIONS BANCORPORATION,Financials,"67,360,243.42",0.02,"67,360,243.42","1,336,778.00",50.39,USD
XRAY,DENTSPLY SIRONA INC,Health Care,"66,315,788.25",0.02,"66,315,788.25","1,919,415.00",34.55,USD
HAS,HASBRO INC,Consumer Discretionary,"64,095,153.66",0.02,"64,095,153.66","1,159,254.00",55.29,USD
SBNY,SIGNATURE BANK,Financials,"63,914,557.90",0.02,"63,914,557.90","561,590.00",113.81,USD
SEE,SEALED AIR CORP,Materials,"63,864,157.50",0.02,"63,864,157.50","1,290,185.00",49.50,USD
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD,Consumer Discretionary,"62,099,218.50",0.02,"62,099,218.50","3,763,589.00",16.50,USD
AIZ,ASSURANT INC,Financials,"60,751,611.52",0.02,"60,751,611.52","477,007.00",127.36,USD
NWSA,NEWS CORP CLASS A,Communication,"58,966,929.78",0.02,"58,966,929.78","3,414,414.00",17.27,USD
DXC,DXC TECHNOLOGY,Information Technology,"57,425,897.22",0.02,"57,425,897.22","2,049,461.00",28.02,USD
OGN,ORGANON,Health Care,"56,984,934.89",0.02,"56,984,934.89","2,271,221.00",25.09,USD
ALK,ALASKA AIR GROUP INC,Industrials,"54,297,816.56",0.02,"54,297,816.56","1,133,093.00",47.92,USD
